gm (L=4.5e-08) X,gm (L=4.5e-08) YRe,gm (L=4.5e-08) YReImag,gm (L=9e-08) X,gm (L=9e-08) YRe,gm (L=9e-08) YReImag,gm (L=1.35e-07) X,gm (L=1.35e-07) YRe,gm (L=1.35e-07) YReImag,gm (L=1e-06) X,gm (L=1e-06) YRe,gm (L=1e-06) YReImag
1.62270156501318e-09,4.554929047205084e-08,-1.108217770552269e-10,1.62270156501318e-09,4.925332332146832e-08,-1.107481655602067e-10,1.62270156501318e-09,4.981593675618397e-08,-1.107283889820423e-10,1.62270156501318e-09,4.701282488770554e-08,-1.139547084131468e-10
1.640653261742107e-09,4.603817466906327e-08,-1.108251951893509e-10,1.640653261742107e-09,4.977954832374763e-08,-1.107514941758976e-10,1.640653261742107e-09,5.034686185004641e-08,-1.107320034144348e-10,1.640653261742107e-09,4.749654666287169e-08,-1.139726975356756e-10
1.658803555318658e-09,4.653222142457854e-08,-1.108286181241784e-10,1.658803555318658e-09,5.031129235714463e-08,-1.10754828449726e-10,1.658803555318658e-09,5.088333628753251e-08,-1.10735625149368e-10,1.658803555318658e-09,4.798510325850576e-08,-1.139907427655154e-10
1.677154642789079e-09,4.703148394369299e-08,-1.108320458748679e-10,1.677154642789079e-09,5.08486117356193e-08,-1.107581684023186e-10,1.677154642789079e-09,5.142541644135741e-08,-1.107392542130887e-10,1.677154642789079e-09,4.84785414394826e-08,-1.140088442594193e-10
1.695708745505198e-09,4.75360159589463e-08,-1.10835478456654e-10,1.695708745505198e-09,5.139156332356233e-08,-1.107615140543999e-10,1.695708745505198e-09,5.197315923251743e-08,-1.107428906319531e-10,1.695708745505198e-09,4.897690841052968e-08,-1.14027002174627e-10
1.714468109393314e-09,4.804587173521786e-08,-1.108389158848483e-10,1.714468109393314e-09,5.194020454082663e-08,-1.107648654267935e-10,1.714468109393314e-09,5.252662213529147e-08,-1.107465344324269e-10,1.714468109393314e-09,4.948025182026933e-08,-1.140452166688613e-10
1.733435005226064e-09,4.856110607466156e-08,-1.108423581748397e-10,1.733435005226064e-09,5.249459336777217e-08,-1.107682225404221e-10,1.733435005226064e-09,5.30858631822728e-08,-1.107501856410865e-10,1.733435005226064e-09,4.998861976546197e-08,-1.140634879003317e-10
1.75261172889729e-09,4.908177432170785e-08,-1.108458053420949e-10,1.75261172889729e-09,5.305478835040049e-08,-1.107715854163086e-10,1.75261172889729e-09,5.365094096944473e-08,-1.107538442846195e-10,1.75261172889729e-09,5.050206079520916e-08,-1.140818160277392e-10
1.772000601699954e-09,4.960793236808481e-08,-1.108492574021592e-10,1.772000601699954e-09,5.362084860548047e-08,-1.107749540755762e-10,1.772000601699954e-09,5.422191466130399e-08,-1.10757510389825e-10,1.772000601699954e-09,5.102062391515455e-08,-1.141002012102748e-10
1.791603970607123e-09,5.013963665788313e-08,-1.108527143706564e-10,1.791603970607123e-09,5.419283382575737e-08,-1.107783285394496e-10,1.791603970607123e-09,5.479884399600492e-08,-1.107611839836146e-10,1.791603970607123e-09,5.154435859181232e-08,-1.141186436076186e-10
1.811424208556064e-09,5.067694419267738e-08,-1.108561762632902e-10,1.811424208556064e-09,5.477080428517172e-08,-1.107817088292549e-10,1.811424208556064e-09,5.538178929057096e-08,-1.10764865093013e-10,1.811424208556064e-09,5.207331475693822e-08,-1.141371433799472e-10
