av0 (L=4.5e-08) X,av0 (L=4.5e-08) YRe,av0 (L=4.5e-08) YReImag,av0 (L=9e-08) X,av0 (L=9e-08) YRe,av0 (L=9e-08) YReImag,av0 (L=1.35e-07) X,av0 (L=1.35e-07) YRe,av0 (L=1.35e-07) YReImag,av0 (L=1e-06) X,av0 (L=1e-06) YRe,av0 (L=1e-06) YReImag
1.733435005226064e-09,-25.09044368014722,6.054344648497469,1.733435005226064e-09,-30.64411692753371,8.482146741971668,1.733435005226064e-09,-32.43764177759745,9.466849472477236,1.733435005226064e-09,-41.21096079072988,17.70962873503758
1.75261172889729e-09,-25.11452195652629,5.994570474000036,1.75261172889729e-09,-30.68327726954596,8.401258646639274,1.75261172889729e-09,-32.48384192566819,9.378108268951884,1.75261172889729e-09,-41.33079330973543,17.57460236966476
1.772000601699954e-09,-25.13798783489911,5.935241464335284,1.772000601699954e-09,-30.72150742576937,8.320884331974581,1.772000601699954e-09,-32.52897870029209,9.289886211578306,1.772000601699954e-09,-41.44853331235163,17.43962756335778
1.791603970607123e-09,-25.16085082030952,5.876358636685906,1.791603970607123e-09,-30.75882132146035,8.241028564533943,1.791603970607123e-09,-32.57306763186326,9.20219012446306,1.791603970607123e-09,-41.56419809257441,17.30473459417201
1.811424208556064e-09,-25.18312077392418,5.817923074486505,1.811424208556064e-09,-30.79523255602659,8.161695684933399,1.811424208556064e-09,-32.61612352287145,9.115026080533948,1.811424208556064e-09,-41.67780606188239,17.16995368767413
1.831463714735483e-09,-25.20480740749019,5.759935676638854,1.831463714735483e-09,-30.83075485391196,8.082889877964853,1.831463714735483e-09,-32.65816168751913,9.028400176321362,1.831463714735483e-09,-41.78937518528001,17.03531346917693
1.85172491487594e-09,-25.22591996258041,5.702397012122487,1.85172491487594e-09,-30.86540150489592,8.004614863934547,1.85172491487594e-09,-32.69919671653319,8.942317793201385,1.85172491487594e-09,-41.89892353876223,16.9008415855995
1.872210261543478e-09,-25.24646811058694,5.64530775678482,1.872210261543478e-09,-30.89918614176635,7.926874344012253,1.872210261543478e-09,-32.7392435814613,8.856784273313849,1.872210261543478e-09,-42.00647044250535,16.76656581949155
1.892922234436497e-09,-25.26646073785706,5.58866812110064,1.892922234436497e-09,-30.93212163683359,7.849671397673107,1.892922234436497e-09,-32.77831713849854,8.771804627515479,1.892922234436497e-09,-42.11203528450005,16.63251295558948
1.91386334068592e-09,-25.28590708168547,5.532478393062897,1.91386334068592e-09,-30.96422098874894,7.773008985820756,1.91386334068592e-09,-32.81643165109713,8.687383275561851,1.91386334068592e-09,-42.21563711843802,16.49870845456735
